model,q,q_std,n_splines_q,lam_q,lam_temp,lam_wind,lam_solar,edof_total,r2_train,r2_val_100,rmse_val_100,mae_val_100,r2_val_energy_100,pearson_ALL_100,spearman_ALL_100,r2_val_1000,rmse_val_1000,mae_val_1000,pearson_ALL_1000,spearman_ALL_1000
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,5,20,73.64331015825918,0.9908185417248857,0.9840507622321351,753.5817629031209,606.9961394640426,0.9840507622321351,0.19765839624051323,0.42998679613916413,0.9840507622321351,753.5817629031209,606.9961394640426,0.4364775026216257,0.5091289811327142
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,5,50,72.43105445050591,0.9908180678717964,0.9840525444369528,753.5396582399225,606.9750991814681,0.9840525444369528,0.19764913051969002,0.4299920607348109,0.9840525444369528,753.5396582399225,606.9750991814681,0.4364816816085925,0.509148059262611
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,10,20,72.91276741645272,0.9908185359309069,0.9840503791712956,753.5908124242856,607.0048429202714,0.9840503791712956,0.19766127132203987,0.42998257907430576,0.9840503791712956,753.5908124242856,607.0048429202714,0.43648284362240997,0.5091336909597589
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,10,50,71.70051301142475,0.9908180620428464,0.9840521630289257,753.5486692183432,606.983756812209,0.9840521630289257,0.19765200018357332,0.42998289171518644,0.9840521630289257,753.5486692183432,606.983756812209,0.4364870128944806,0.5091435049740216
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,20,20,72.11285359847889,0.9908185224801358,0.9840497890670776,753.6047529752453,607.018413145768,0.9840497890670776,0.19766549306039044,0.42999412018453304,0.9840497890670776,753.6047529752453,607.018413145768,0.43649068143324127,0.5091408770491771
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,20,50,70.900600869923,0.9908180485688297,0.9840515755615645,753.5625482532354,606.9972188575589,0.9840515755615645,0.19765621318186286,0.4299825251824419,0.9840515755615645,753.5625482532354,606.9972188575589,0.43649483508769743,0.5091366474994722
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,50,20,70.96988556944899,0.9908184859292355,0.9840487699798042,753.6288271630258,607.042502646553,0.9840487699798042,0.19767204971554378,0.4300008003953495,0.9840487699798042,753.6288271630258,607.042502646553,0.4365026402176191,0.5091477478999188
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,20,50,50,69.7576358040638,0.9908180120555841,0.9840505613010118,753.5865097617306,607.0211021306245,0.9840505613010118,0.1976627521695759,0.4299957475721202,0.9840505613010118,753.5865097617306,607.0211021306245,0.4365067620846731,0.5091405370346003
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,50,5,20,72.99450153702688,0.9908184640279961,0.9840500130079104,753.599462654351,606.9995368520766,0.9840500130079104,0.19766736339393595,0.4299826369341079,0.9840500130079104,753.599462654351,606.9995368520766,0.4364986928685097,0.5091463767251704
QGAM,demand_minus_renewables,demand_minus_renewables_std,5,20,50,5,50,71.78225720741034,0.9908179902743462,0.9840517696068128,753.5579639233822,606.9786973920773,0.9840517696068128,0.19765810422641872,0.42999244120524777,0.9840517696068128,753.5579639233822,606.9786973920773,0.43650289548742977,0.5091505143379373
